DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1970/01/04 17:00:40.20,24.138999999999900,102.503000000000000,31.00,7.50,Ms,90,,,0.000000000000000,NEI,1970010440
1970/01/06 05:35:51.80,-9.628000000000000,151.458000000000000,8.00,6.20,Ms,85,,,0.000000000000000,NEI,1970010640
1970/01/08 17:12:39.10,-34.741000000000000,178.568000000000000,179.00,6.10,Mb,59,,,0.000000000000000,NEI,1970010840
1970/01/10 12:07:08.60,6.825000000000000,126.736999999999000,73.00,6.10,Mb,91,,,0.000000000000000,NEI,1970011040
1970/01/16 08:05:39.00,60.280000000000000,-152.660000000000000,85.00,6.00,ML,0,,,,AK,
1970/01/20 07:19:51.20,-25.800000000000000,-177.348999999999000,80.00,6.50,Mb,175,,,0.000000000000000,NEI,1970012040
1970/01/20 17:33:05.40,42.518999999999900,142.966000000000000,46.00,6.40,Ms,199,,,0.000000000000000,NEI,1970012040
1970/01/21 17:51:38.50,7.017000000000000,-104.298000000000000,33.00,6.60,Ms,140,,,0.000000000000000,NEI,1970012140
1970/01/26 10:01:20.50,-12.579000000000000,166.370000000000000,50.00,6.40,Ms,91,,,0.000000000000000,NEI,1970012640
1970/02/04 05:08:48.00,15.532000000000000,-99.483999999999900,21.00,6.50,Ms,100,,,0.000000000000000,NEI,1970020440
1970/02/05 22:05:58.30,12.598000000000000,122.117000000000000,11.00,6.60,Ms,94,,,0.000000000000000,NEI,1970020540
1970/02/06 22:10:41.60,23.096000000000000,100.775000000000000,33.00,6.10,Ms,57,,,0.000000000000000,NEI,1970020640
1970/02/24 02:07:36.80,30.576000000000000,103.031000000000000,33.00,6.00,Ms,94,,,0.000000000000000,NEI,1970022440
1970/02/27 07:07:56.50,50.130000000000000,-179.589800000000000,7.00,6.00,ML,0,,,,AK,
1970/02/28 10:52:31.10,52.589799999999900,-175.039999999999000,161.00,6.10,ML,0,,,,AK,
1970/03/04 03:30:35.40,12.134000000000000,143.706999999999000,33.00,6.20,Ms,82,,,0.000000000000000,NEI,1970030440
1970/03/09 16:01:10.50,-19.007999999999900,168.603000000000000,41.00,6.50,Ms,61,,,0.000000000000000,NEI,1970030940
1970/03/10 04:58:26.20,44.798000000000000,148.870000000000000,40.00,6.00,Mb,65,,,0.000000000000000,NEI,1970031040
